day,hour,value
2003,Hungary,72.63
2004,Hungary,73.04
2005,Hungary,72.99
2006,Hungary,73.45
2007,Hungary,73.45
2008,Hungary,73.48
2009,Hungary,74.081
2010,Hungary,74.227
2011,Hungary,74.362
2012,Hungary,74.491
2013,Hungary,74.62
2014,Hungary,74.752
2015,Hungary,74.889
1981,India,55.767
1982,India,56.131
1983,India,56.47
1984,India,56.792
1985,India,57.102
1986,India,57.4
1987,India,57.687
1988,India,57.964
1989,India,58.238
1990,India,58.518
1991,India,58.81
1992,India,59.119
1993,India,59.447
1994,India,59.796
1995,India,60.163
1996,India,60.547
1997,India,60.941
1998,India,61.338
1999,India,61.735
2000,India,62.129
2001,India,62.522
2002,India,62.913
2003,India,63.302
2004,India,63.684
2005,India,64.056
2006,India,64.412
2007,India,64.751
2008,India,65.07
2009,India,65.369
2010,India,65.65
2011,India,65.915
2012,India,66.168
2013,India,66.414
2014,India,66.655
2015,India,66.892
1981,Indonesia,59.137
1982,Indonesia,59.667
1983,Indonesia,60.184
1984,Indonesia,60.688
1985,Indonesia,61.181
1986,Indonesia,61.661
1987,Indonesia,62.13
1988,Indonesia,62.587
1989,Indonesia,63.033
1990,Indonesia,63.469
1991,Indonesia,63.894
1992,Indonesia,64.308
1993,Indonesia,64.713
1994,Indonesia,65.108
1995,Indonesia,65.493
1996,Indonesia,65.87
1997,Indonesia,66.237
1998,Indonesia,66.596
1999,Indonesia,66.946
2000,Indonesia,67.289
2001,Indonesia,67.624
2002,Indonesia,67.951
2003,Indonesia,68.271
2004,Indonesia,68.582
2005,Indonesia,68.883
2006,Indonesia,69.171
2007,Indonesia,69.445
2008,Indonesia,69.705
2009,Indonesia,69.951
2010,Indonesia,70.185
2011,Indonesia,70.408
2012,Indonesia,70.624
2013,Indonesia,70.833
2014,Indonesia,71.039
2015,Indonesia,71.242
1981,Japan,76.6
1982,Japan,77.11
1983,Japan,77.14
1984,Japan,77.54
1985,Japan,77.84
1986,Japan,78.26
1987,Japan,78.67
1988,Japan,78.58
1989,Japan,79.01
1990,Japan,79.04
1991,Japan,79.31
1992,Japan,79.36
1993,Japan,79.5
1994,Japan,79.91
1995,Japan,79.76
1996,Japan,80.46
1997,Japan,80.69
1998,Japan,80.77
1999,Japan,80.75
2000,Japan,81.35
2001,Japan,81.7
2002,Japan,82
2003,Japan,82.07
2004,Japan,82.36
2005,Japan,82.27
2006,Japan,82.68
2007,Japan,82.87
2008,Japan,82.81
2009,Japan,82.932
2010,Japan,83.092
2011,Japan,83.255
2012,Japan,83.418
2013,Japan,83.58
2014,Japan,83.739
2015,Japan,83.897
1981,Malaysia,68.357
1982,Malaysia,68.654
1983,Malaysia,68.943
1984,Malaysia,69.224
1985,Malaysia,69.497
1986,Malaysia,69.763
1987,Malaysia,70.02
1988,Malaysia,70.269
1989,Malaysia,70.511
1990,Malaysia,70.746
1991,Malaysia,70.974
1992,Malaysia,71.197
1993,Malaysia,71.415
1994,Malaysia,71.628
1995,Malaysia,71.836
1996,Malaysia,72.04
1997,Malaysia,72.24
1998,Malaysia,72.435
1999,Malaysia,72.625
2000,Malaysia,72.81
2001,Malaysia,72.989
2002,Malaysia,73.162
2003,Malaysia,73.329
2004,Malaysia,73.491
2005,Malaysia,73.652
2006,Malaysia,73.811
2007,Malaysia,73.973
2008,Malaysia,74.138
2009,Malaysia,74.306
2010,Malaysia,74.479
2011,Malaysia,74.656
2012,Malaysia,74.836
2013,Malaysia,75.017
2014,Malaysia,75.198
2015,Malaysia,75.379
1981,Nepal,48.315
1982,Nepal,48.998
1983,Nepal,49.7
1984,Nepal,50.421
1985,Nepal,51.158
1986,Nepal,51.914
1987,Nepal,52.686
1988,Nepal,53.471
1989,Nepal,54.264
1990,Nepal,55.057
1991,Nepal,55.843
1992,Nepal,56.619
1993,Nepal,57.378
1994,Nepal,58.115
1995,Nepal,58.828
1996,Nepal,59.516
1997,Nepal,60.181
1998,Nepal,60.826
1999,Nepal,61.451
2000,Nepal,62.055
2001,Nepal,62.636
2002,Nepal,63.196
2003,Nepal,63.736
2004,Nepal,64.256
2005,Nepal,64.761
2006,Nepal,65.252
2007,Nepal,65.731
2008,Nepal,66.2
2009,Nepal,66.66
2010,Nepal,67.113
2011,Nepal,67.556
2012,Nepal,67.989
2013,Nepal,68.41
2014,Nepal,68.819
2015,Nepal,69.215
1981,Netherlands,75.97
1982,Netherlands,76.05
1983,Netherlands,76.25
1984,Netherlands,76.32
1985,Netherlands,76.38
1986,Netherlands,76.36
1987,Netherlands,76.83
1988,Netherlands,77.03
1989,Netherlands,76.87
1990,Netherlands,77.05
1991,Netherlands,77.21
1992,Netherlands,77.42
1993,Netherlands,77.11
1994,Netherlands,77.6
1995,Netherlands,77.64
1996,Netherlands,77.65
1997,Netherlands,78.03
1998,Netherlands,78.12
1999,Netherlands,78.07
2000,Netherlands,78.24
2001,Netherlands,78.45
2002,Netherlands,78.53
2003,Netherlands,78.79
2004,Netherlands,79.38
2005,Netherlands,79.65
2006,Netherlands,80
2007,Netherlands,79.824
2008,Netherlands,80.024
2009,Netherlands,80.445
2010,Netherlands,80.621
2011,Netherlands,80.77
2012,Netherlands,80.906
2013,Netherlands,81.038
2014,Netherlands,81.171
2015,Netherlands,81.307
1981,New Zealand,73.74
1982,New Zealand,73.84
1983,New Zealand,73.94
1984,New Zealand,74.49
1985,New Zealand,73.99
1986,New Zealand,74.24
1987,New Zealand,74.32
1988,New Zealand,74.6
1989,New Zealand,75.01
1990,New Zealand,75.56
1991,New Zealand,76.2
1992,New Zealand,76.33
1993,New Zealand,76.62
1994,New Zealand,77.07
1995,New Zealand,76.94
1996,New Zealand,76.98
1997,New Zealand,77.55
1998,New Zealand,78.37
1999,New Zealand,78.14
2000,New Zealand,78.9
2001,New Zealand,78.91
2002,New Zealand,79.11
2003,New Zealand,79.41
2004,New Zealand,79.593
2005,New Zealand,79.799
2006,New Zealand,79.98
2007,New Zealand,80.145
2008,New Zealand,80.301
2009,New Zealand,80.501
2010,New Zealand,80.67
2011,New Zealand,80.829
2012,New Zealand,80.982
2013,New Zealand,81.132
2014,New Zealand,81.281
2015,New Zealand,81.43
1981,Nigeria,45.859
1982,Nigeria,46.09
1983,Nigeria,46.246
1984,Nigeria,46.33
1985,Nigeria,46.35
1986,Nigeria,46.323
1987,Nigeria,46.268
1988,Nigeria,46.207
1989,Nigeria,46.153
1990,Nigeria,46.114
1991,Nigeria,46.091
1992,Nigeria,46.079
1993,Nigeria,46.077
1994,Nigeria,46.09
1995,Nigeria,46.119
1996,Nigeria,46.165
1997,Nigeria,46.23
1998,Nigeria,46.321
1999,Nigeria,46.448
2000,Nigeria,46.629
2001,Nigeria,46.886
2002,Nigeria,47.224
2003,Nigeria,47.643
2004,Nigeria,48.132
2005,Nigeria,48.671
2006,Nigeria,49.236
2007,Nigeria,49.799
2008,Nigeria,50.337
2009,Nigeria,50.839
2010,Nigeria,51.297
2011,Nigeria,51.717
2012,Nigeria,52.116
2013,Nigeria,52.506
2014,Nigeria,52.893
2015,Nigeria,53.28
1981,Pakistan,58.337
1982,Pakistan,58.641
1983,Pakistan,58.944
1984,Pakistan,59.251
1985,Pakistan,59.566
1986,Pakistan,59.886
1987,Pakistan,60.208
1988,Pakistan,60.525
1989,Pakistan,60.837
1990,Pakistan,61.142
1991,Pakistan,61.435
1992,Pakistan,61.718
1993,Pakistan,61.991
1994,Pakistan,62.256
1995,Pakistan,62.516
1996,Pakistan,62.776
1997,Pakistan,63.039
1998,Pakistan,63.306
1999,Pakistan,63.578
2000,Pakistan,63.854
2001,Pakistan,64.13
2002,Pakistan,64.401
2003,Pakistan,64.664
2004,Pakistan,64.916
2005,Pakistan,65.153
2006,Pakistan,65.373
2007,Pakistan,65.578
2008,Pakistan,65.768
2009,Pakistan,65.944
2010,Pakistan,66.11
2011,Pakistan,66.268
2012,Pakistan,66.42
2013,Pakistan,66.57
2014,Pakistan,66.719
2015,Pakistan,66.869
1981,Philippines,62.422
1982,Philippines,62.735
1983,Philippines,63.079
1984,Philippines,63.442
1985,Philippines,63.807
1986,Philippines,64.157
1987,Philippines,64.479
1988,Philippines,64.766
1989,Philippines,65.012
1990,Philippines,65.219
1991,Philippines,65.394
1992,Philippines,65.552
1993,Philippines,65.703
1994,Philippines,65.854
1995,Philippines,66.008
1996,Philippines,66.166
1997,Philippines,66.322
1998,Philippines,66.476
1999,Philippines,66.627
2000,Philippines,66.774
2001,Philippines,66.917
2002,Philippines,67.056
2003,Philippines,67.192
2004,Philippines,67.326
2005,Philippines,67.46
2006,Philippines,67.598
2007,Philippines,67.741
2008,Philippines,67.891
2009,Philippines,68.046
2010,Philippines,68.207
2011,Philippines,68.372
2012,Philippines,68.538
2013,Philippines,68.703
2014,Philippines,68.865
2015,Philippines,69.024
1981,Poland,71.26
1982,Poland,71.32
1983,Poland,71.16
1984,Poland,70.9
1985,Poland,70.64
1986,Poland,70.93
1987,Poland,70.98
1988,Poland,71.35
1989,Poland,71.1
1990,Poland,70.75
1991,Poland,70.45
1992,Poland,70.99
1993,Poland,71.51
1994,Poland,71.82
1995,Poland,72.05
1996,Poland,72.39
1997,Poland,72.75
1998,Poland,73.13
1999,Poland,73.18
2000,Poland,73.91
2001,Poland,74.33
2002,Poland,74.67
2003,Poland,74.85
2004,Poland,75.02
2005,Poland,75.15
2006,Poland,75.35
2007,Poland,75.517
2008,Poland,75.678
2009,Poland,75.739
2010,Poland,75.902
2011,Poland,76.07
2012,Poland,76.239
2013,Poland,76.408
2014,Poland,76.578
2015,Poland,76.749
1981,Portugal,71.94
1982,Portugal,72.77
1983,Portugal,72.69
1984,Portugal,72.98
1985,Portugal,73.26
1986,Portugal,73.66
1987,Portugal,74.05
1988,Portugal,74.07
1989,Portugal,74.63
1990,Portugal,74.25
1991,Portugal,74.19
1992,Portugal,74.86
1993,Portugal,74.77
1994,Portugal,75.76
1995,Portugal,75.58
1996,Portugal,75.53
1997,Portugal,75.97
1998,Portugal,76.18
1999,Portugal,76.36
2000,Portugal,76.84
2001,Portugal,77.11
2002,Portugal,77.29
2003,Portugal,77.49
2004,Portugal,78.32
2005,Portugal,78.2
2006,Portugal,78.94
2007,Portugal,79.12
2008,Portugal,78.771
2009,Portugal,79.06
2010,Portugal,79.291
2011,Portugal,79.514
2012,Portugal,79.732
2013,Portugal,79.945
2014,Portugal,80.154
2015,Portugal,80.359
1981,Russia,67.92
1982,Russia,68.38
1983,Russia,68.15
1984,Russia,67.67
1985,Russia,68.33
1986,Russia,69.95
1987,Russia,69.96
1988,Russia,69.81
1989,Russia,69.73
1990,Russia,69.36
1991,Russia,69.11
1992,Russia,67.98
1993,Russia,65.24
1994,Russia,63.93
1995,Russia,64.62
1996,Russia,65.89
1997,Russia,66.79
1998,Russia,67.14
1999,Russia,65.99
2000,Russia,65.38
2001,Russia,65.3
2002,Russia,65.01
2003,Russia,64.92
2004,Russia,65.29
2005,Russia,65.33
2006,Russia,66.65
2007,Russia,67.57
2008,Russia,67.89
2009,Russia,67.416
2010,Russia,67.622
2011,Russia,67.764
2012,Russia,67.874
2013,Russia,67.979
2014,Russia,68.089
2015,Russia,68.209
1981,Singapore,72.332
1982,Singapore,72.713
1983,Singapore,73.101
1984,Singapore,73.497
1985,Singapore,73.904
1986,Singapore,74.326
1987,Singapore,74.76
1988,Singapore,75.2
1989,Singapore,75.636
1990,Singapore,76.049
1991,Singapore,76.418
1992,Singapore,76.732
1993,Singapore,76.989
1994,Singapore,77.193
1995,Singapore,77.358
1996,Singapore,77.506
1997,Singapore,77.661
1998,Singapore,77.845
1999,Singapore,78.067
2000,Singapore,78.34
2001,Singapore,78.666
2002,Singapore,79.034
2003,Singapore,79.428
2004,Singapore,79.835
2005,Singapore,80.241
2006,Singapore,80.626
2007,Singapore,80.979
2008,Singapore,81.292
2009,Singapore,81.561
2010,Singapore,81.788
2011,Singapore,81.981
2012,Singapore,82.155
2013,Singapore,82.322
2014,Singapore,82.489
2015,Singapore,82.659
1981,South Africa,57.519
1982,South Africa,58.124
1983,South Africa,58.726
1984,South Africa,59.31
1985,South Africa,59.871
1986,South Africa,60.409
1987,South Africa,60.921
1988,South Africa,61.39
1989,South Africa,61.791
1990,South Africa,62.096
1991,South Africa,62.277
1992,South Africa,62.312
1993,South Africa,62.186
1994,South Africa,61.884
1995,South Africa,61.371
1996,South Africa,60.613
1997,South Africa,59.629
1998,South Africa,58.469
1999,South Africa,57.196
2000,South Africa,55.892
2001,South Africa,54.641
2002,South Africa,53.526
2003,South Africa,52.621
2004,South Africa,51.983
2005,South Africa,51.675
2006,South Africa,51.739
2007,South Africa,52.13
2008,South Africa,52.776
2009,South Africa,53.615
2010,South Africa,54.547
2011,South Africa,55.461
2012,South Africa,56.271
2013,South Africa,56.916
2014,South Africa,57.367
2015,South Africa,57.631
1981,Sri Lanka,68.556
1982,Sri Lanka,68.829
1983,Sri Lanka,69.004
1984,Sri Lanka,69.087
1985,Sri Lanka,69.108
1986,Sri Lanka,69.115
1987,Sri Lanka,69.148
1988,Sri Lanka,69.235
1989,Sri Lanka,69.376
1990,Sri Lanka,69.535
1991,Sri Lanka,69.652
1992,Sri Lanka,69.683
1993,Sri Lanka,69.615
1994,Sri Lanka,69.473
1995,Sri Lanka,69.333
1996,Sri Lanka,69.297
1997,Sri Lanka,69.442
1998,Sri Lanka,69.804
1999,Sri Lanka,70.37
2000,Sri Lanka,71.078
2001,Sri Lanka,71.828
2002,Sri Lanka,72.51
2003,Sri Lanka,73.04
2004,Sri Lanka,73.393
2005,Sri Lanka,73.573
2006,Sri Lanka,73.623
2007,Sri Lanka,73.621
2008,Sri Lanka,73.634
2009,Sri Lanka,73.686
2010,Sri Lanka,73.79
2011,Sri Lanka,73.941
2012,Sri Lanka,74.116
2013,Sri Lanka,74.293
2014,Sri Lanka,74.47
2015,Sri Lanka,74.642
1981,Sweden,76.1
1982,Sweden,76.42
1983,Sweden,76.66
1984,Sweden,76.92
1985,Sweden,76.78
1986,Sweden,77.04
1987,Sweden,77.19
1988,Sweden,77.08
1989,Sweden,77.74
1990,Sweden,77.67
1991,Sweden,77.81
1992,Sweden,78.16
1993,Sweden,78.24
1994,Sweden,78.86
1995,Sweden,78.94
1996,Sweden,79.15
1997,Sweden,79.39
1998,Sweden,79.53
1999,Sweden,79.61
2000,Sweden,79.84
2001,Sweden,79.93
2002,Sweden,80.04
2003,Sweden,80.33
2004,Sweden,80.67
2005,Sweden,80.75
2006,Sweden,80.95
2007,Sweden,81.08
2008,Sweden,80.973
2009,Sweden,81.282
2010,Sweden,81.426
2011,Sweden,81.56
2012,Sweden,81.69
2013,Sweden,81.818
2014,Sweden,81.948
2015,Sweden,82.079
1981,Switzerland,75.87
1982,Switzerland,76.21
1983,Switzerland,76.22
1984,Switzerland,76.82
1985,Switzerland,76.94
1986,Switzerland,77.11
1987,Switzerland,77.41
1988,Switzerland,77.43
1989,Switzerland,77.62
1990,Switzerland,77.44
1991,Switzerland,77.72
1992,Switzerland,78.02
1993,Switzerland,78.31
1994,Switzerland,78.6
1995,Switzerland,78.68
1996,Switzerland,79.17
1997,Switzerland,79.37
1998,Switzerland,79.62
1999,Switzerland,79.88
2000,Switzerland,79.99
2001,Switzerland,80.41
2002,Switzerland,80.62
2003,Switzerland,80.72
2004,Switzerland,81.28
2005,Switzerland,81.45
2006,Switzerland,81.75
2007,Switzerland,81.94
2008,Switzerland,81.898
2009,Switzerland,82.032
2010,Switzerland,82.192
2011,Switzerland,82.336
2012,Switzerland,82.471
2013,Switzerland,82.604
2014,Switzerland,82.739
2015,Switzerland,82.876
1981,Taiwan,71.6
1982,Taiwan,72.11
1983,Taiwan,72.09
1984,Taiwan,72.75
1985,Taiwan,72.94
1986,Taiwan,73.07
1987,Taiwan,73.36
1988,Taiwan,73.18
1989,Taiwan,73.49
1990,Taiwan,73.76
1991,Taiwan,74.24
1992,Taiwan,74.21
1993,Taiwan,74.51
1994,Taiwan,74.66
1995,Taiwan,74.47
1996,Taiwan,74.65
1997,Taiwan,75.18
1998,Taiwan,75.36
1999,Taiwan,75.46
2000,Taiwan,76.02
2001,Taiwan,76.39
2002,Taiwan,76.88
2003,Taiwan,77.09
2004,Taiwan,77.19
2005,Taiwan,77.21
2006,Taiwan,77.93
2007,Taiwan,78.12
2008,Taiwan,78.34
2009,Taiwan,78.81
2010,Taiwan,79.15
2011,Taiwan,79.15
2012,Taiwan,79.45
2013,Taiwan,79.75
1981,Thailand,64.761
1982,Thailand,65.443
1983,Thailand,66.207
1984,Thailand,67.028
1985,Thailand,67.857
1986,Thailand,68.633
1987,Thailand,69.305
1988,Thailand,69.835
1989,Thailand,70.211
1990,Thailand,70.435
1991,Thailand,70.531
1992,Thailand,70.549
1993,Thailand,70.538
1994,Thailand,70.523
1995,Thailand,70.525
1996,Thailand,70.552
1997,Thailand,70.601
1998,Thailand,70.673
1999,Thailand,70.775
2000,Thailand,70.921
2001,Thailand,71.123
2002,Thailand,71.378
2003,Thailand,71.678
2004,Thailand,72.015
2005,Thailand,72.371
2006,Thailand,72.725
2007,Thailand,73.061
2008,Thailand,73.363
2009,Thailand,73.627
2010,Thailand,73.852
2011,Thailand,74.046
2012,Thailand,74.225
2013,Thailand,74.401
2014,Thailand,74.58
2015,Thailand,74.765
1981,United Kingdom,74.06
1982,United Kingdom,74.19
1983,United Kingdom,74.44
1984,United Kingdom,74.83
1985,United Kingdom,74.68
1986,United Kingdom,74.95
1987,United Kingdom,75.3
1988,United Kingdom,75.41
1989,United Kingdom,75.55
1990,United Kingdom,75.89
1991,United Kingdom,76.06
1992,United Kingdom,76.46
1993,United Kingdom,76.32
1994,United Kingdom,76.88
1995,United Kingdom,76.78
1996,United Kingdom,77.05
1997,United Kingdom,77.31
1998,United Kingdom,77.45
1999,United Kingdom,77.56
2000,United Kingdom,78.04
2001,United Kingdom,78.31
2002,United Kingdom,78.43
2003,United Kingdom,78.52
2004,United Kingdom,79.1
2005,United Kingdom,79.3
2006,United Kingdom,79.53
2007,United Kingdom,79.344
2008,United Kingdom,79.499
2009,United Kingdom,79.913
2010,United Kingdom,80.085
2011,United Kingdom,80.244
2012,United Kingdom,80.396
2013,United Kingdom,80.547
2014,United Kingdom,80.699
2015,United Kingdom,80.853
1981,United States,74.36
1982,United States,74.65
1983,United States,74.71
1984,United States,74.81
1985,United States,74.79
1986,United States,74.87
1987,United States,75.01
1988,United States,75.02
1989,United States,75.1
1990,United States,75.4
1991,United States,75.5
1992,United States,75.8
1993,United States,75.5
1994,United States,75.7
1995,United States,75.8
1996,United States,76.1
1997,United States,76.5
1998,United States,76.7
1999,United States,76.7
2000,United States,76.8
2001,United States,76.9
2002,United States,76.9
2003,United States,77.1
2004,United States,77.5
2005,United States,77.4
2006,United States,77.7
2007,United States,77.9
2008,United States,77.8
2009,United States,78.352
2010,United States,78.507
2011,United States,78.654
2012,United States,78.797
2013,United States,78.941
2014,United States,79.087
2015,United States,79.235
